Name,Category,Brand,ImageURL,Code,Barcode
LA FINCA CREMA CHONTALENO 1/ 16 OZ. CJ 12,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/201_8355,201,810118991752
LA FINCA CREMA CHONTALENO 1/ 32 OZ. CJ 8,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/198_8352,198,810118991745
LA FINCA CREMA GUATEMALTECA 1/ 16 OZ. CJ 12,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/202_8356,202,810118991738
LA FINCA CREMA HONDURENA 1/ 16 OZ. CJ 12,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/199_8353,199,810118991707
LA FINCA CREMA HONDURENA 1/ 32 OZ. CJ 8,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/196_8350,196,810118991677
LA FINCA CREMA SALVADORENA 1/ 16 OZ. CJ 12,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/200_8354,200,810118991714
LA FINCA CREMA SALVADORENA 1/ 32 OZ. CJ 8,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/197_8351,197,810118991684
LA FINCA CUERITOS EN VINAGRE 12/15 OZ,Carnicería,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/212_3079,212,810118990595
LA FINCA CUERITOS EN VINAGRE 4/4 LB,Carnicería,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/213_3080,213,810118990601
LA FINCA CUERITOS EN VINAGRE MINI BARREL 1/9 LB,Carnicería,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/214_3081,214,810118990618
LA FINCA CURTIDO SALVADORENO C/VERDURA 12/32 GRS.,Conservas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/144_2329,144,850026673371
LA FINCA FRESCO 1 KILO CJ 4,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/184_8197,184,851356007973
LA FINCA FRIED PORK SKIN (Chicharron Sancocho) 12/ 5 OZ.,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/221_6114,221,810118991271
LA FINCA FRIED PORK SKIN STRIPS (C. Botanero Tiras) 12/ 5 OZ.,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/223_6118,223,810118991288
LA FINCA FRIJOL PILOY ROJO 12/ 24 OZ (680G),Granos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/70_3229,70,810118991554
LA FINCA FRIJOL ROJO DE SEDA 12/ 32 OZ,Granos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/67_3225,67,810118991363
LA FINCA FRIJOL ROJO DE SEDA 50 LBS,Granos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/69_3228,69,3228
LA FINCA FRIJOL ROJO DE SEDA 6/ 64 OZ,Granos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/68_3226,68,810118991370
LA FINCA FRIJOLES REFRITOS ROJOS 12/800 GMS,Condimentos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/112_5486,112,810118991080
LA FINCA FRIJOLES REFRITOS ROJOS 8/1200 GMS,Condimentos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/164_5487,164,810118991097
